Collection_ID,Collection_Date,Sale_ID,Customer_ID,Collection_Amount,Payment_Mode
COL800001,2026-03-10 00:00:00,S501588,C2310,151365.97,Cash
COL800002,2026-04-25 00:00:00,S504391,C2339,92996.89,Card
COL800003,2026-06-16 00:00:00,S502339,C2171,76320.26,Cheque
COL800004,2026-04-15 00:00:00,S504353,C2111,135710.53,Cash
COL800005,2026-04-08 00:00:00,S500199,C2128,243016.95,Bank Transfer
COL800006,2026-08-19 00:00:00,S500440,C2128,16083.37,Card
COL800007,2026-04-06 00:00:00,S500625,C2430,32304.06,Card
COL800008,2026-06-06 00:00:00,S500817,C2132,78397.62,Card
COL800009,2026-08-09 00:00:00,S504413,C2256,18786.16,UPI
COL800010,2026-08-04 00:00:00,S504305,C2312,41746.27,Cash
COL800011,2026-02-15 00:00:00,S502300,C2309,129902.27,Cheque
COL800012,2026-05-02 00:00:00,S501848,C2424,489656.02,Bank Transfer
COL800013,2026-01-31 00:00:00,S502644,C2387,393381,Card
COL800014,2026-06-01 00:00:00,S502456,C2186,60547.77,Card
COL800015,2026-04-29 00:00:00,S501396,C2208,74613.89,Card
COL800016,2026-05-06 00:00:00,S501018,C2192,7469.65,Cash
COL800017,2026-05-23 00:00:00,S503529,C2013,114690.33,Bank Transfer
COL800018,2026-07-23 00:00:00,S500123,C2159,12693.56,Cash
COL800019,2026-05-28 00:00:00,S503392,C2429,32598.59,Bank Transfer
COL800020,2026-05-12 00:00:00,S501459,C2051,162375.75,Cheque
COL800021,2026-07-05 00:00:00,S504415,C2316,5959.95,UPI
COL800022,2026-07-24 00:00:00,S503652,C2238,304891.09,Bank Transfer
COL800023,2026-07-08 00:00:00,S500854,C2156,228778.19,Cash
COL800024,2026-08-21 00:00:00,S505082,C2428,363370.16,Cash
COL800025,2026-05-07 00:00:00,S501146,C2125,217574.09,Cash
COL800026,2026-04-18 00:00:00,S503149,C2165,227982.8,UPI
COL800027,2026-05-18 00:00:00,S502575,C2149,264100.52,Bank Transfer
COL800028,2026-02-10 00:00:00,S501674,C2304,637624.72,Bank Transfer
COL800029,2026-02-22 00:00:00,S503929,C2386,49835.6,Bank Transfer
COL800030,2026-03-28 00:00:00,S501579,C2444,21442.23,Bank Transfer
COL800031,2026-07-18 00:00:00,S500582,C2332,59257.4,Card
COL800032,2026-05-01 00:00:00,S503536,C2008,74736.72,Card
COL800033,2026-03-17 00:00:00,S500770,C2246,133676.46,Cash
COL800034,2026-02-17 00:00:00,S504917,C2420,38674.02,Card
COL800035,2026-05-23 00:00:00,S502907,C2100,307991.37,Bank Transfer
COL800036,2026-05-15 00:00:00,S503454,C2444,476990.71,Bank Transfer
COL800037,2026-03-13 00:00:00,S504153,C2385,471467.77,Card
COL800038,2026-07-18 00:00:00,S502637,C2398,27711.37,Cheque
COL800039,2026-06-20 00:00:00,S500340,C2045,156591.5,Cash
COL800040,2026-01-04 00:00:00,S500963,C2023,90750.11,UPI
COL800041,2026-05-04 00:00:00,S500927,C2386,106290.76,Cash
COL800042,2026-08-30 00:00:00,S504929,C2095,195592.54,Cash
COL800043,2026-06-28 00:00:00,S503727,C2224,120314.35,Cash
COL800044,2026-03-12 00:00:00,S503786,C2111,263024.63,Card
COL800045,2026-05-06 00:00:00,S504470,C2106,119482.61,Cash
COL800046,2026-02-28 00:00:00,S500229,C2063,6195.77,Bank Transfer
COL800047,2026-04-19 00:00:00,S501963,C2159,610532.81,Cash
COL800048,2026-02-10 00:00:00,S502119,C2336,234441.18,Bank Transfer
COL800049,2026-07-08 00:00:00,S503206,C2337,13766.99,Card
COL800050,2026-01-30 00:00:00,S501495,C2321,39268.51,Card
COL800051,2026-05-03 00:00:00,S501292,C2315,162695.54,Cash
COL800052,2026-05-26 00:00:00,S503420,C2194,250510.35,Bank Transfer
COL800053,2026-01-30 00:00:00,S501777,C2134,56172.4,Bank Transfer
COL800054,2026-05-15 00:00:00,S501381,C2414,51656.76,Bank Transfer
COL800055,2026-02-21 00:00:00,S503376,C2397,58445.3,Bank Transfer
COL800056,2026-06-25 00:00:00,S500449,C2105,62482.5,UPI
COL800057,2026-01-23 00:00:00,S500932,C2204,308202.98,Card
COL800058,2026-05-04 00:00:00,S501008,C2085,242248.04,Bank Transfer
COL800059,2026-06-14 00:00:00,S501878,C2279,121762.64,UPI
COL800060,2026-03-12 00:00:00,S502315,C2295,327173.4,UPI
COL800061,2026-08-18 00:00:00,S504955,C2134,163129.22,Card
COL800062,2026-08-09 00:00:00,S504637,C2278,142433.21,Cheque
COL800063,2026-08-14 00:00:00,S500039,C2282,65136.31,Cash
COL800064,2026-04-13 00:00:00,S500975,C2067,56970.62,Card
COL800065,2026-02-22 00:00:00,S503681,C2155,199069.46,Cheque
COL800066,2026-04-15 00:00:00,S503309,C2207,295728.49,Cash
COL800067,2026-06-22 00:00:00,S501812,C2024,70599.37,Cash
COL800068,2026-06-26 00:00:00,S503753,C2280,125588.27,Cash
COL800069,2026-02-18 00:00:00,S500696,C2015,92078.34,UPI
COL800070,2026-04-21 00:00:00,S501127,C2027,210644.53,Bank Transfer
COL800071,2026-07-29 00:00:00,S501805,C2417,101760.34,Cash
COL800072,2026-09-05 00:00:00,S503340,C2409,422070.07,Bank Transfer
COL800073,2026-06-24 00:00:00,S505009,C2147,174107.57,Cash
COL800074,2026-04-17 00:00:00,S503417,C2013,14437.83,UPI
COL800075,2026-06-02 00:00:00,S503771,C2090,48391.54,Cash
COL800076,2026-04-01 00:00:00,S504669,C2003,304488.94,Card
COL800077,2026-06-04 00:00:00,S500616,C2286,123670.56,Cheque
COL800078,2026-05-20 00:00:00,S501784,C2323,75733.57,Cash
COL800079,2026-05-31 00:00:00,S503210,C2048,295323.22,Cheque
COL800080,2026-01-17 00:00:00,S503717,C2099,112671.5,Cheque
COL800081,2026-02-13 00:00:00,S504979,C2178,51932.44,UPI
COL800082,2026-03-12 00:00:00,S502090,C2096,239512.16,Cheque
COL800083,2026-05-05 00:00:00,S503645,C2316,305258.02,UPI
COL800084,2026-06-01 00:00:00,S501469,C2196,222838.38,Cash
COL800085,2026-07-18 00:00:00,S503506,C2015,115882.76,Bank Transfer
COL800086,2026-04-03 00:00:00,S501622,C2093,425581.41,UPI
COL800087,2026-03-01 00:00:00,S502713,C2313,190302.59,Cheque
COL800088,2026-02-22 00:00:00,S504658,C2169,174687,Cheque
COL800089,2026-08-08 00:00:00,S504040,C2249,153275.67,Cash
COL800090,2026-08-03 00:00:00,S504024,C2290,221244.48,UPI
COL800091,2026-03-15 00:00:00,S501896,C2443,176507.37,Cash
COL800092,2026-05-24 00:00:00,S501006,C2165,162094.1,UPI
COL800093,2026-04-17 00:00:00,S501687,C2102,22038.08,Bank Transfer
COL800094,2026-08-28 00:00:00,S503893,C2072,328588.34,Card
COL800095,2026-04-08 00:00:00,S502056,C2104,70599.76,Cash
COL800096,2026-01-25 00:00:00,S504754,C2294,71472.53,Cheque
COL800097,2026-03-07 00:00:00,S501305,C2396,328861.15,Cash
COL800098,2026-02-19 00:00:00,S501478,C2436,220581.79,UPI
COL800099,2026-03-10 00:00:00,S503780,C2378,274466.72,Cash
COL800100,2026-03-19 00:00:00,S503582,C2114,120574.18,Bank Transfer
COL800101,2026-08-11 00:00:00,S502474,C2074,116340.97,UPI
COL800102,2026-06-17 00:00:00,S500260,C2370,28592.54,Cheque
COL800103,2026-05-14 00:00:00,S503874,C2233,57665.58,Cheque
COL800104,2026-03-05 00:00:00,S503616,C2120,124926.09,UPI
COL800105,2026-01-28 00:00:00,S504148,C2140,127587.68,Bank Transfer
COL800106,2026-01-09 00:00:00,S501080,C2133,58538.5,Cash
COL800107,2026-01-06 00:00:00,S504764,C2446,36102.03,Card
COL800108,2026-09-02 00:00:00,S503254,C2083,131699.25,Cheque
COL800109,2026-05-25 00:00:00,S502491,C2107,61328.04,Bank Transfer
COL800110,2026-06-17 00:00:00,S503669,C2101,66029.31,Bank Transfer
COL800111,2026-04-09 00:00:00,S503489,C2177,170573.36,Bank Transfer
COL800112,2026-07-23 00:00:00,S504155,C2259,35045.04,Cash
COL800113,2026-06-22 00:00:00,S501989,C2408,41713.79,Bank Transfer
COL800114,2026-03-23 00:00:00,S501176,C2220,39431.17,Bank Transfer
COL800115,2026-04-29 00:00:00,S501975,C2278,121376.62,UPI
COL800116,2026-06-20 00:00:00,S503461,C2277,510042.59,UPI
COL800117,2026-08-14 00:00:00,S502559,C2422,261875.04,Bank Transfer
COL800118,2026-06-23 00:00:00,S504426,C2268,21023.75,Bank Transfer
COL800119,2026-07-10 00:00:00,S500869,C2028,3225.58,UPI
COL800120,2026-05-09 00:00:00,S502430,C2446,769263.62,Cash
COL800121,2026-07-06 00:00:00,S500046,C2298,340404.68,UPI
COL800122,2026-03-04 00:00:00,S501272,C2360,438829.51,UPI
COL800123,2026-07-26 00:00:00,S503978,C2096,4836.12,UPI
COL800124,2026-05-05 00:00:00,S504844,C2093,532867.34,UPI
COL800125,2026-01-18 00:00:00,S502853,C2196,433250.99,Card
COL800126,2026-03-27 00:00:00,S500581,C2179,117988.99,Cheque
COL800127,2026-07-29 00:00:00,S500351,C2192,4834.27,Cash
COL800128,2026-08-29 00:00:00,S502774,C2437,138050.72,Cash
COL800129,2026-07-12 00:00:00,S502010,C2081,35603.91,Bank Transfer
COL800130,2026-08-26 00:00:00,S504977,C2349,103749.59,Card
COL800131,2026-01-20 00:00:00,S502484,C2366,101392.48,Bank Transfer
COL800132,2026-07-03 00:00:00,S504425,C2312,57218.64,Cash
COL800133,2026-07-01 00:00:00,S504175,C2289,73835.91,Cash
COL800134,2026-02-17 00:00:00,S502161,C2230,342131.01,Bank Transfer
COL800135,2026-08-16 00:00:00,S501458,C2138,57150.06,Cheque
COL800136,2026-02-23 00:00:00,S504217,C2428,65108.85,Bank Transfer
COL800137,2026-04-12 00:00:00,S501870,C2110,116163.93,Cheque
COL800138,2026-03-30 00:00:00,S501766,C2257,86266.32,Cheque
COL800139,2026-05-24 00:00:00,S503696,C2409,319082.53,UPI
COL800140,2026-05-28 00:00:00,S502417,C2094,378179.46,Cash
COL800141,2026-08-18 00:00:00,S505174,C2245,53577.07,UPI
COL800142,2026-02-16 00:00:00,S503964,C2398,187008.12,Cash
COL800143,2026-08-13 00:00:00,S505123,C2110,566748.72,UPI
COL800144,2026-05-15 00:00:00,S504056,C2013,270492.46,Cheque
COL800145,2026-05-31 00:00:00,S502800,C2147,39863.29,UPI
COL800146,2026-07-22 00:00:00,S501567,C2358,19073.22,Card
COL800147,2026-06-10 00:00:00,S504737,C2058,94244.32,UPI
COL800148,2026-06-17 00:00:00,S501940,C2004,248805.64,UPI
COL800149,2026-04-20 00:00:00,S502508,C2052,14214.56,UPI
COL800150,2026-01-05 00:00:00,S500334,C2227,144554.47,Card
COL800151,2026-06-22 00:00:00,S500549,C2246,13519.38,Cash
COL800152,2026-04-21 00:00:00,S503130,C2280,356814.95,UPI
COL800153,2026-02-10 00:00:00,S501839,C2259,488322.34,Cash
COL800154,2026-05-16 00:00:00,S501383,C2020,60291.46,Bank Transfer
COL800155,2026-08-31 00:00:00,S503940,C2419,223445.7,Cheque
COL800156,2026-07-28 00:00:00,S500114,C2273,377800.68,Bank Transfer
COL800157,2026-08-31 00:00:00,S501598,C2407,49019.81,Card
COL800158,2026-03-23 00:00:00,S501996,C2443,127158.58,Card
COL800159,2026-06-27 00:00:00,S501698,C2236,10729.52,Cash
COL800160,2026-08-07 00:00:00,S502882,C2349,12345.73,Cash
COL800161,2026-01-31 00:00:00,S500061,C2335,226117.98,UPI
COL800162,2026-01-04 00:00:00,S503747,C2048,124066.95,Bank Transfer
COL800163,2026-07-13 00:00:00,S500741,C2258,119851.87,Cash
COL800164,2026-02-25 00:00:00,S502625,C2175,96213.86,Cash
COL800165,2026-01-05 00:00:00,S500776,C2128,4360.34,Cash
COL800166,2026-03-22 00:00:00,S503600,C2276,59350.54,Cheque
COL800167,2026-02-23 00:00:00,S502012,C2115,195030.69,Cash
COL800168,2026-05-04 00:00:00,S503348,C2390,146509.23,Cheque
COL800169,2026-08-19 00:00:00,S502124,C2181,14071.44,Card
COL800170,2026-04-06 00:00:00,S503842,C2441,305948.81,UPI
COL800171,2026-04-03 00:00:00,S500042,C2378,122058.98,Bank Transfer
COL800172,2026-03-21 00:00:00,S504007,C2191,55509.66,Cash
COL800173,2026-01-01 00:00:00,S502962,C2397,57335.96,Cheque
COL800174,2026-07-23 00:00:00,S505124,C2008,151341.74,Cash
COL800175,2026-07-30 00:00:00,S502479,C2274,201959.1,Cash
COL800176,2026-03-14 00:00:00,S504920,C2442,98313.55,Cheque
