Customer_ID,Customer_Name,Region_Code,Customer_Type,City
C2001,Customer_0001,R05,Wholesale,Chennai
C2002,Customer_0002,R05,Retail,Pune
C2003,Customer_0003,R04,Wholesale,Coimbatore
C2004,Customer_0004,R06,Retail,Coimbatore
C2005,Customer_0005,R02,Distributor,Mumbai
C2006,Customer_0006,R05,Retail,Pune
C2007,Customer_0007,R03,Retail,Kolkata
C2008,Customer_0008,R02,Retail,Kolkata
C2009,Customer_0009,R03,Wholesale,Bengaluru
C2010,Customer_0010,R01,Corporate,Hyderabad
C2011,Customer_0011,R02,Retail,Madurai
C2012,Customer_0012,R05,Corporate,Kolkata
C2013,Customer_0013,R02,Retail,Pune
C2014,Customer_0014,R02,Corporate,Coimbatore
C2015,Customer_0015,R02,Retail,Kolkata
C2016,Customer_0016,R06,Retail,Coimbatore
C2017,Customer_0017,R02,Wholesale,Kolkata
C2018,Customer_0018,R03,Distributor,Madurai
C2019,Customer_0019,R01,Corporate,Ahmedabad
C2020,Customer_0020,R04,Wholesale,Kolkata
C2021,Customer_0021,R02,Distributor,Pune
C2022,Customer_0022,R05,Retail,Kolkata
C2023,Customer_0023,R02,Distributor,Hyderabad
C2024,Customer_0024,R05,Wholesale,Madurai
C2025,Customer_0025,R03,Corporate,Pune
C2026,Customer_0026,R05,Corporate,Mumbai
C2027,Customer_0027,R04,Corporate,Pune
C2028,Customer_0028,R01,Wholesale,Hyderabad
C2029,Customer_0029,R05,Wholesale,Ahmedabad
C2030,Customer_0030,R05,Corporate,Madurai
C2031,Customer_0031,R01,Retail,Mumbai
C2032,Customer_0032,R04,Distributor,Hyderabad
C2033,Customer_0033,R02,Corporate,Hyderabad
C2034,Customer_0034,R05,Retail,Chennai
C2035,Customer_0035,R01,Corporate,Madurai
C2036,Customer_0036,R03,Wholesale,Pune
C2037,Customer_0037,R01,Corporate,Coimbatore
C2038,Customer_0038,R03,Corporate,Ahmedabad
C2039,Customer_0039,R04,Retail,Coimbatore
C2040,Customer_0040,R02,Wholesale,Pune
C2041,Customer_0041,R01,Distributor,Pune
C2042,Customer_0042,R06,Retail,Madurai
C2043,Customer_0043,R05,Wholesale,Pune
C2044,Customer_0044,R04,Retail,Chennai
C2045,Customer_0045,R01,Wholesale,Mumbai
C2046,Customer_0046,R05,Wholesale,Pune
C2047,Customer_0047,R01,Wholesale,Coimbatore
C2048,Customer_0048,R03,Retail,Pune
C2049,Customer_0049,R01,Wholesale,Chennai
C2050,Customer_0050,R06,Retail,Kolkata
C2051,Customer_0051,R01,Retail,Kolkata
C2052,Customer_0052,R01,Retail,Hyderabad
C2053,Customer_0053,R06,Retail,Ahmedabad
C2054,Customer_0054,R04,Wholesale,Bengaluru
C2055,Customer_0055,R01,Wholesale,Mumbai
C2056,Customer_0056,R06,Corporate,Delhi
C2057,Customer_0057,R05,Retail,Hyderabad
C2058,Customer_0058,R03,Corporate,Ahmedabad
C2059,Customer_0059,R03,Corporate,Kolkata
C2060,Customer_0060,R01,Retail,Coimbatore
C2061,Customer_0061,R04,Distributor,Delhi
C2062,Customer_0062,R04,Distributor,Ahmedabad
C2063,Customer_0063,R05,Retail,Ahmedabad
C2064,Customer_0064,R01,Retail,Hyderabad
C2065,Customer_0065,R03,Distributor,Delhi
C2066,Customer_0066,R04,Corporate,Madurai
C2067,Customer_0067,R01,Retail,Bengaluru
C2068,Customer_0068,R04,Corporate,Madurai
C2069,Customer_0069,R06,Corporate,Delhi
C2070,Customer_0070,R04,Corporate,Madurai
C2071,Customer_0071,R03,Corporate,Chennai
C2072,Customer_0072,R02,Corporate,Kolkata
C2073,Customer_0073,R05,Retail,Chennai
C2074,Customer_0074,R05,Retail,Pune
C2075,Customer_0075,R03,Wholesale,Madurai
C2076,Customer_0076,R04,Distributor,Pune
C2077,Customer_0077,R01,Retail,Coimbatore
C2078,Customer_0078,R04,Wholesale,Mumbai
C2079,Customer_0079,R03,Wholesale,Coimbatore
C2080,Customer_0080,R05,Wholesale,Delhi
C2081,Customer_0081,R04,Corporate,Ahmedabad
C2082,Customer_0082,R05,Corporate,Kolkata
C2083,Customer_0083,R01,Wholesale,Madurai
C2084,Customer_0084,R05,Wholesale,Hyderabad
C2085,Customer_0085,R05,Retail,Mumbai
