Sale_ID,Sale_Date,Employee_ID,Customer_ID,Product_ID,Quantity,Unit_Price,Gross_Sales,Region_Code
S500001,7/6/2026 0:00,E1078,C2200,P3023,4,72228.78,262613.73,R01
S500002,6/24/2026 0:00,E1021,C2216,P3058,1,41115.63,37113.32,R04
S500003,8/10/2026 0:00,E1067,C2205,P3006,5,23219.92,119781.99,R01
S500004,8/21/2026 0:00,E1087,C2413,P3023,5,72228.78,368859,R05
S500005,6/11/2026 0:00,E1051,C2416,P3028,5,47578.07,234363.2,R06
S500006,6/14/2026 0:00,E1111,C2216,P3049,6,44098.98,277772.9,R02
S500007,5/14/2026 0:00,E1002,C2080,P3030,11,45220.48,518793.58,R06
S500008,5/15/2026 0:00,E1011,C2267,P3014,2,9360.99,18689.52,R01
S500009,8/12/2026 0:00,E1049,C2390,P3037,1,63029.63,61118.96,R04
S500010,8/12/2026 0:00,E1061,C2379,P3055,2,2016.98,3722.64,R03
S500011,9/2/2026 0:00,E1098,C2035,P3032,10,66344.43,-5000,R03
S500012,6/2/2026 0:00,E1064,C2289,P3049,6,44098.98,244395.19,R02
S500013,2/2/2026 0:00,E1105,C2018,P3034,5,16100.35,77262.98,R06
S500014,2/24/2026 0:00,E1088,C2165,P3041,5,58594.28,305099.6,R04
S500015,7/5/2026 0:00,E1019,C2013,P3044,6,31924.43,182217.66,R03
S500016,1/7/2026 0:00,E1114,C2202,P3051,10,55331.31,510662.67,R05
S500017,9/1/2026 0:00,E1048,C2229,P3022,7,19428.07,134277.43,R04
S500018,2/26/2026 0:00,E1033,C2346,P3031,9,61484.37,548021.97,R01
S500019,5/6/2026 0:00,E1028,C2366,P3007,7,60276.19,392005.87,R04
S500020,1/12/2026 0:00,E1094,C2448,P3041,2,58594.28,108925.36,R04
S500021,1/16/2026 0:00,E1019,C2001,P3021,6,42656.59,268335.32,R03
S500022,7/27/2026 0:00,E1041,C2319,P3016,9,51163.56,431228.46,R01
S500023,2/12/2026 0:00,E1051,C2217,P3020,7,8239.05,59157.22,R06
S500024,4/27/2026 0:00,E1095,C2034,P3043,2,61740.42,119844.15,R05
S500025,8/16/2026 0:00,E1084,C2359,P3044,3,31924.43,92445.01,R01
S500026,7/24/2026 0:00,E1046,C2266,P9999,8,46883.48,354155.69,R04
S500027,5/15/2026 0:00,E1074,C2128,P3050,11,12809.06,143164.46,R05
S500028,8/16/2026 0:00,E1056,C2212,P3019,9,53251.21,494644.75,R06
S500029,4/21/2026 0:00,E1097,C2263,P3048,4,34019.63,127800.74,R04
S500030,2/20/2026 0:00,E1035,C2312,P3032,9,66344.43,545907.21,R06
S500031,7/20/2026 0:00,E1073,C2080,P3015,2,13790.91,25390.11,R01
S500032,6/9/2026 0:00,E1037,C2165,P3005,11,21544.25,241470.66,R02
S500033,3/16/2026 0:00,E1019,C2413,P3011,5,53782.26,259599.99,R03
S500034,1/8/2026 0:00,E1039,C2252,P3015,11,13790.91,139531.73,R04
S500035,8/13/2026 0:00,E1061,C2012,P3029,2,71367.4,135746.97,R03
S500036,8/3/2026 0:00,E1010,C2401,P3050,11,12809.06,137678.03,R05
S500037,8/5/2026 0:00,E1075,C2304,P3045,1,50149.35,51543.89,R05
S500038,9/5/2026 0:00,E1112,C2212,P3004,5,19444.05,96856.79,R02
S500039,7/19/2026 0:00,E1074,C2282,P3049,2,44098.98,81707.02,R05
S500040,2/14/2026 0:00,E1053,C2112,P3036,7,30974.38,200300.1,R06
S500041,8/2/2026 0:00,E9999,C2211,P3048,8,34019.63,261774.28,R05
S500042,2/28/2026 0:00,E1084,C2378,P3023,2,72228.78,131641.13,R01
S500043,5/12/2026 0:00,E1006,C2239,P3015,7,13790.91,97823.83,R02
S500044,4/14/2026 0:00,E1015,C2268,P3046,4,7391.26,28388.89,R02
S500045,7/14/2026 0:00,E1094,C2405,P3044,1,31924.43,30374.61,R04
S500046,6/6/2026 0:00,E1031,C2298,P3003,11,36568.91,392751.14,R04
S500047,8/21/2026 0:00,E1005,C2317,P3032,3,66344.43,200295.86,R02
S500048,6/6/2026 0:00,E1041,C2058,P3010,11,45872.45,497230.86,R01
S500049,4/8/2026 0:00,E1086,C2438,P3040,1,17956.07,18321.66,R02
S500050,8/14/2026 0:00,E1066,C2034,P3038,5,67526.73,335744.38,R04
S500051,6/5/2026 0:00,E1026,C2263,P3022,8,19428.07,158252.59,R05
S500052,7/24/2026 0:00,E1029,C2365,P3014,1,9360.99,9403.28,R04
S500053,3/20/2026 0:00,E1078,C2035,P3017,9,13812.52,115482.55,R01
S500054,5/4/2026 0:00,E1068,C2271,P3021,3,42656.59,116177.76,R05
S500055,8/3/2026 0:00,E1109,C2449,P3051,5,55331.31,286480.49,R02
S500056,12/31/2027 0:00,E1080,C2227,P3048,9,34019.63,318989.68,R01
S500057,8/6/2026 0:00,E1023,C2025,P3015,5,13790.91,69577.89,R02
S500058,1/4/2026 0:00,E1032,C2234,P3058,9,41115.63,373234.44,R02
S500059,3/31/2026 0:00,E1024,C2059,P3015,10,13790.91,129706.55,R02
S500060,4/14/2026 0:00,E1050,C2251,P3001,8,26533.8,208315.01,R02
S500061,5/17/2026 0:00,E1021,C2335,P3024,7,36395.04,267206.98,R04
S500062,4/29/2026 0:00,E1039,C2086,P3055,11,2016.98,22817.36,R04
S500063,5/13/2026 0:00,E1057,C2251,P3055,1,2016.98,1907.38,R01
S500064,2/25/2026 0:00,E1070,C2390,P3012,4,20628.64,77989.2,R06
S500065,4/6/2026 0:00,E1081,C2180,P3010,9,45872.45,401513.73,R06
S500066,7/31/2026 0:00,E1090,C2207,P3046,10,7391.26,71007.08,R03
