Employee_ID,Employee_Name,Region_Code,Team,Join_Date,Status
E1001,Employee_001,R03,Team B,2022-04-18 00:00:00,Inactive
E1002,Employee_002,R06,Team C,2021-05-31 00:00:00,Active
E1003,Employee_003,R05,Team D,2024-12-09 00:00:00,Active
E1004,Employee_004,R04,Team A,2024-08-14 00:00:00,Active
E1005,Employee_005,R02,Team C,2025-06-23 00:00:00,Active
E1006,Employee_006,R02,Team B,2021-09-20 00:00:00,Active
E1007,Employee_007,R01,Team A,2025-11-23 00:00:00,Active
E1008,Employee_008,R06,Team A,2021-05-24 00:00:00,Active
E1009,Employee_009,R04,Team A,2021-12-12 00:00:00,Active
E1010,Employee_010,R05,Team C,2022-09-16 00:00:00,Active
E1011,Employee_011,R01,Team B,2023-10-14 00:00:00,Active
E1012,Employee_012,R06,Team A,2025-05-15 00:00:00,Active
E1013,Employee_013,R05,Team D,2023-05-31 00:00:00,Active
E1014,Employee_014,R02,Team A,2021-01-02 00:00:00,Active
E1015,Employee_015,R02,Team A,2023-06-16 00:00:00,Active
E1016,Employee_016,R02,Team C,2024-08-20 00:00:00,Active
E1017,Employee_017,R02,Team C,2021-09-11 00:00:00,Active
E1018,Employee_018,R04,Team B,2025-08-03 00:00:00,Active
E1019,Employee_019,R03,Team D,2022-03-29 00:00:00,Active
E1020,Employee_020,R02,Team C,2023-11-27 00:00:00,Active
E1021,Employee_021,R04,Team A,2024-03-29 00:00:00,Active
E1022,Employee_022,R01,Team B,2023-10-12 00:00:00,Active
E1023,Employee_023,R02,Team A,2021-01-09 00:00:00,Active
E1024,Employee_024,R02,Team A,2024-06-10 00:00:00,Active
E1025,Employee_025,R03,Team C,2024-01-28 00:00:00,Active
E1026,Employee_026,R05,Team B,2025-08-10 00:00:00,Active
E1027,Employee_027,R02,Team D,2023-03-27 00:00:00,Active
E1028,Employee_028,R04,Team D,2021-07-27 00:00:00,Active
E1029,Employee_029,R04,Team C,2024-02-29 00:00:00,Active
E1030,Employee_030,R01,Team C,2022-02-08 00:00:00,Active
E1031,Employee_031,R04,Team B,2021-06-01 00:00:00,Active
E1032,Employee_032,R02,Team D,2021-02-23 00:00:00,Active
E1033,Employee_033,R01,Team D,2024-02-18 00:00:00,Active
E1034,Employee_034,R06,Team D,2025-08-24 00:00:00,Active
E1035,Employee_035,R06,Team A,2022-09-20 00:00:00,Active
E1036,Employee_036,R05,Team D,2022-08-10 00:00:00,Active
E1037,Employee_037,R02,Team A,2025-07-07 00:00:00,Active
E1038,Employee_038,R01,Team B,2024-12-14 00:00:00,Active
E1039,Employee_039,R04,Team A,2024-12-16 00:00:00,Active
E1040,Employee_040,R03,Team B,2021-04-14 00:00:00,Inactive
E1041,Employee_041,R01,Team D,2021-09-11 00:00:00,Active
E1042,Employee_042,R03,Team D,2024-06-04 00:00:00,Active
E1043,Employee_043,R01,Team B,2024-02-10 00:00:00,Active
E1044,Employee_044,R06,Team C,2022-05-25 00:00:00,Active
E1045,Employee_045,R02,Team B,2025-02-05 00:00:00,Active
E1046,Employee_046,R04,Team C,2021-04-09 00:00:00,Active
E1047,Employee_047,R02,Team A,2021-06-02 00:00:00,Active
E1048,Employee_048,R04,Team A,2023-07-03 00:00:00,Active
E1049,Employee_049,R04,Team A,2023-05-28 00:00:00,Active
E1050,Employee_050,R02,Team D,2021-12-04 00:00:00,Active
E1051,Employee_051,R06,Team A,2025-09-26 00:00:00,Active
E1052,Employee_052,R05,Team C,2023-04-02 00:00:00,Active
E1053,Employee_053,R06,Team A,2024-04-01 00:00:00,Active
E1054,Employee_054,R06,Team B,2025-10-10 00:00:00,Active
E1055,Employee_055,R04,Team B,2023-08-15 00:00:00,Active
E1056,Employee_056,R06,Team D,2025-09-01 00:00:00,Active
E1057,Employee_057,R01,Team B,2021-06-10 00:00:00,Active
E1058,Employee_058,R02,Team C,2025-05-23 00:00:00,Active
E1059,Employee_059,R01,Team A,2023-03-12 00:00:00,Active
E1060,Employee_060,R02,Team D,2022-02-02 00:00:00,Active
E1061,Employee_061,R03,Team A,2024-07-24 00:00:00,Active
E1062,Employee_062,R02,Team A,2023-03-27 00:00:00,Active
E1063,Employee_063,R05,Team C,2025-03-08 00:00:00,Active
E1064,Employee_064,R02,Team B,2024-11-16 00:00:00,Active
E1065,Employee_065,R02,Team B,2024-03-04 00:00:00,Active
E1066,Employee_066,R04,Team A,2024-05-03 00:00:00,Active
E1067,Employee_067,R01,Team D,2022-02-05 00:00:00,Active
E1068,Employee_068,R05,Team B,2022-10-02 00:00:00,Active
E1069,Employee_069,R01,Team D,2023-11-23 00:00:00,Active
E1070,Employee_070,R06,Team B,2022-11-19 00:00:00,Active
E1071,Employee_071,R05,Team D,2022-04-05 00:00:00,Active
E1072,Employee_072,R02,Team C,2023-08-13 00:00:00,Active
E1073,Employee_073,R01,Team D,2022-04-15 00:00:00,Active
E1074,Employee_074,R05,Team C,2024-10-30 00:00:00,Active
E1075,Employee_075,R05,Team C,2023-11-12 00:00:00,Active
E1076,Employee_076,R05,Team D,2023-01-20 00:00:00,Active
