Order_ID,Order_Date,Employee_ID,Customer_ID,Product_ID,Quantity,Region_Code,Order_Value
S500001,2026-07-06 00:00:00,E1078,C2200,P3023,4,R01,262613.73
S500002,2026-06-24 00:00:00,E1021,C2216,P3058,1,R04,37113.32
S500003,2026-08-10 00:00:00,E1067,C2205,P3006,5,R01,119781.99
S500004,2026-08-21 00:00:00,E1087,C2413,P3023,5,R05,368859
S500005,2026-06-11 00:00:00,E1051,C2416,P3028,5,R06,234363.2
S500006,2026-06-14 00:00:00,E1111,C2216,P3049,6,R02,277772.9
S500007,2026-05-14 00:00:00,E1002,C2080,P3030,11,R06,518793.58
S500008,2026-05-15 00:00:00,E1011,C2267,P3014,2,R01,18689.52
S500009,2026-08-12 00:00:00,E1049,C2390,P3037,1,R04,61118.96
S500010,2026-08-12 00:00:00,E1061,C2379,P3055,2,R03,3722.64
S500011,2026-09-02 00:00:00,E1098,C2035,P3032,10,R03,-5000
S500012,2026-06-02 00:00:00,E1064,C2289,P3049,6,R02,244395.19
S500013,2026-02-02 00:00:00,E1105,C2018,P3034,5,R06,77262.98
S500014,2026-02-24 00:00:00,E1088,C2165,P3041,5,R04,305099.6
S500015,2026-07-05 00:00:00,E1019,C2013,P3044,6,R03,182217.66
S500016,2026-01-07 00:00:00,E1114,C2202,P3051,10,R05,510662.67
S500017,2026-09-01 00:00:00,E1048,C2229,P3022,7,R04,134277.43
S500018,2026-02-26 00:00:00,E1033,C2346,P3031,9,R01,548021.97
S500019,2026-05-06 00:00:00,E1028,C2366,P3007,7,R04,392005.87
S500020,2026-01-12 00:00:00,E1094,C2448,P3041,2,R04,108925.36
S500021,2026-01-16 00:00:00,E1019,C2001,P3021,6,R03,268335.32
S500022,2026-07-27 00:00:00,E1041,C2319,P3016,9,R01,431228.46
S500023,2026-02-12 00:00:00,E1051,C2217,P3020,7,R06,59157.22
S500024,2026-04-27 00:00:00,E1095,C2034,P3043,2,R05,119844.15
S500025,2026-08-16 00:00:00,E1084,C2359,P3044,3,R01,92445.01
S500026,2026-07-24 00:00:00,E1046,C2266,P9999,8,R04,354155.69
S500027,2026-05-15 00:00:00,E1074,C2128,P3050,11,R05,143164.46
S500028,2026-08-16 00:00:00,E1056,C2212,P3019,9,R06,494644.75
S500029,2026-04-21 00:00:00,E1097,C2263,P3048,4,R04,127800.74
S500030,2026-02-20 00:00:00,E1035,C2312,P3032,9,R06,545907.21
S500031,2026-07-20 00:00:00,E1073,C2080,P3015,2,R01,25390.11
S500032,2026-06-09 00:00:00,E1037,C2165,P3005,11,R02,241470.66
S500033,2026-03-16 00:00:00,E1019,C2413,P3011,5,R03,259599.99
S500034,2026-01-08 00:00:00,E1039,C2252,P3015,11,R04,139531.73
S500035,2026-08-13 00:00:00,E1061,C2012,P3029,2,R03,135746.97
S500036,2026-08-03 00:00:00,E1010,C2401,P3050,11,R05,137678.03
S500037,2026-08-05 00:00:00,E1075,C2304,P3045,1,R05,51543.89
S500038,2026-09-05 00:00:00,E1112,C2212,P3004,5,R02,96856.79
S500039,2026-07-19 00:00:00,E1074,C2282,P3049,2,R05,81707.02
S500040,2026-02-14 00:00:00,E1053,C2112,P3036,7,R06,200300.1
S500041,2026-08-02 00:00:00,E9999,C2211,P3048,8,R05,261774.28
S500042,2026-02-28 00:00:00,E1084,C2378,P3023,2,R01,131641.13
S500043,2026-05-12 00:00:00,E1006,C2239,P3015,7,R02,97823.83
S500044,2026-04-14 00:00:00,E1015,C2268,P3046,4,R02,28388.89
S500045,2026-07-14 00:00:00,E1094,C2405,P3044,1,R04,30374.61
S500046,2026-06-06 00:00:00,E1031,C2298,P3003,11,R04,392751.14
S500047,2026-08-21 00:00:00,E1005,C2317,P3032,3,R02,200295.86
S500048,2026-06-06 00:00:00,E1041,C2058,P3010,11,R01,497230.86
S500049,2026-04-08 00:00:00,E1086,C2438,P3040,1,R02,18321.66
S500050,2026-08-14 00:00:00,E1066,C2034,P3038,5,R04,335744.38
S500051,2026-06-05 00:00:00,E1026,C2263,P3022,8,R05,158252.59
S500052,2026-07-24 00:00:00,E1029,C2365,P3014,1,R04,9403.28
S500053,2026-03-20 00:00:00,E1078,C2035,P3017,9,R01,115482.55
S500054,2026-05-04 00:00:00,E1068,C2271,P3021,3,R05,116177.76
S500055,2026-08-03 00:00:00,E1109,C2449,P3051,5,R02,286480.49
S500056,2027-12-31 00:00:00,E1080,C2227,P3048,9,R01,318989.68
S500057,2026-08-06 00:00:00,E1023,C2025,P3015,5,R02,69577.89
S500058,2026-01-04 00:00:00,E1032,C2234,P3058,9,R02,373234.44
S500059,2026-03-31 00:00:00,E1024,C2059,P3015,10,R02,129706.55
S500060,2026-04-14 00:00:00,E1050,C2251,P3001,8,R02,208315.01
S500061,2026-05-17 00:00:00,E1021,C2335,P3024,7,R04,267206.98
S500062,2026-04-29 00:00:00,E1039,C2086,P3055,11,R04,22817.36
S500063,2026-05-13 00:00:00,E1057,C2251,P3055,1,R01,1907.38
S500064,2026-02-25 00:00:00,E1070,C2390,P3012,4,R06,77989.2
S500065,2026-04-06 00:00:00,E1081,C2180,P3010,9,R06,401513.73
S500066,2026-07-31 00:00:00,E1090,C2207,P3046,10,R03,71007.08
S500067,2026-06-27 00:00:00,E1091,C2344,P3042,8,R01,158960.91
S500068,2026-03-16 00:00:00,E1002,C2149,P3042,4,R06,82671.81
S500069,2026-05-23 00:00:00,E1008,C2071,P3052,1,R06,58381.28
S500070,2026-02-01 00:00:00,E1059,C2121,P3031,10,R01,623759.51
S500071,2026-01-28 00:00:00,E1097,C2253,P3011,4,R04,217497.17
S500072,2026-01-22 00:00:00,E1013,C2093,P3054,3,R05,22759.31
S500073,2026-08-21 00:00:00,E1108,C2256,P3016,6,R05,315029.67
S500074,2026-01-17 00:00:00,E1006,C2254,P3009,11,R02,254831.55
S500075,2026-02-28 00:00:00,E1110,C2352,P3047,5,R01,238405.1
S500076,2026-03-31 00:00:00,E1052,C2288,P3014,5,R05,45581.43
S500077,2026-08-24 00:00:00,E1044,C2309,P3019,2,R06,111053.21
S500078,2026-07-18 00:00:00,E1104,C2059,P3031,3,R04,171284.04
S500079,2026-04-16 00:00:00,E1013,C2069,P3009,11,R05,268384.12
S500080,2026-07-04 00:00:00,E1105,C2446,P3036,6,R06,174468.69
S500081,2026-01-26 00:00:00,E1019,C2388,P3053,2,R03,30119.32
S500082,2026-01-25 00:00:00,E1068,C2086,P3039,4,R05,103031.79
S500083,2026-05-18 00:00:00,E1076,C2274,P3054,2,R05,14694.36
S500084,2026-02-14 00:00:00,E1081,C2227,P3026,9,R06,348076.99
S500085,2026-03-24 00:00:00,E1096,C2081,P3008,3,R03,119633.71
S500086,2026-01-11 00:00:00,E1110,C2114,P3024,10,R01,371660.33
S500087,2026-07-24 00:00:00,E1018,C2184,P3008,10,R04,380608.87
S500088,2026-06-30 00:00:00,E1070,C2280,P3019,6,R06,315369.11
