Product_ID,Product_Name,Category,Unit_Price,Cost_Price
P3001,Product_001,Electronics,26533.8,19325.7
P3002,Product_002,Computer,7831.21,5474.25
P3003,Product_003,Electronics,36568.91,30949.57
P3004,Product_004,Mobile,19444.05,11490.11
P3005,Product_005,Home Appliances,21544.25,16342.25
P3006,Product_006,Computer,23219.92,15587.43
P3007,Product_007,Office Supplies,60276.19,40894.98
P3008,Product_008,Mobile,40552.31,31033.84
P3009,Product_009,Computer,23520.25,17822.02
P3010,Product_010,Electronics,45872.45,38871.25
P3011,Product_011,Electronics,53782.26,31651.84
P3012,Product_012,Electronics,20628.64,11990.04
P3013,Product_013,Electronics,31162.8,23911.27
P3014,Product_014,Office Supplies,9360.99,6772.83
P3015,Product_015,Mobile,13790.91,8719.28
P3016,Product_016,Accessories,51163.56,29358.97
P3017,Product_017,Home Appliances,13812.52,7951.83
P3018,Product_018,Office Supplies,39505.96,32326.04
P3019,Product_019,Office Supplies,53251.21,32353.32
P3020,Product_020,Accessories,8239.05,5330.76
P3021,Product_021,Accessories,42656.59,26361.64
P3022,Product_022,Home Appliances,19428.07,12754.51
P3023,Product_023,Home Appliances,72228.78,41230.15
P3024,Product_024,Accessories,36395.04,25684.63
P3025,Product_025,Electronics,60497.94,34500.99
P3026,Product_026,Office Supplies,41379.43,32694.18
P3027,Product_027,Computer,3495.09,2167.35
P3028,Product_028,Home Appliances,47578.07,33875.76
P3029,Product_029,Home Appliances,71367.4,58094.76
P3030,Product_030,Accessories,45220.48,33701.16
P3031,Product_031,Mobile,61484.37,43646.98
P3032,Product_032,Computer,66344.43,42944.76
P3033,Product_033,Computer,17298.96,11242.6
P3034,Product_034,Home Appliances,16100.35,12088.88
P3035,Product_035,Electronics,45920.83,38951.97
P3036,Product_036,Mobile,30974.38,23185.93
P3037,Product_037,Computer,63029.63,45213.36
P3038,Product_038,Home Appliances,67526.73,51941.23
P3039,Product_039,Computer,26668.25,18389.4
P3040,Product_040,Mobile,17956.07,10199.81
P3041,Product_041,Mobile,58594.28,42111.07
P3042,Product_042,Office Supplies,20791.75,17408.67
P3043,Product_043,Accessories,61740.42,37204.21
P3044,Product_044,Accessories,31924.43,24166.84
P3045,Product_045,Home Appliances,50149.35,30605.15
P3046,Product_046,Mobile,7391.26,5253.33
P3047,Product_047,Office Supplies,46883.48,27145.67
P3048,Product_048,Office Supplies,34019.63,23307.23
P3049,Product_049,Computer,44098.98,34258.25
P3050,Product_050,Computer,12809.06,8380.6
P3051,Product_051,Office Supplies,55331.31,41469.35
P3052,Product_052,Computer,64744.08,51059.45
P3053,Product_053,Mobile,16451.3,13624.2
P3054,Product_054,Electronics,7404.66,4593.8
P3055,Product_055,Mobile,2016.98,1350.96
P3056,Product_056,Office Supplies,48237.37,28736.2
P3057,Product_057,Office Supplies,45630.28,38682.84
P3058,Product_058,Mobile,41115.63,34047.87
P3059,Product_059,Computer,17588.05,12522.47
P3060,Product_060,Computer,29470.22,23653.09
