Return_ID,Return_Date,Sale_ID,Product_ID,Return_Amount,Return_Reason
RET700001,2026-02-15 00:00:00,S503731,P3023,8388.85,Damaged
RET700002,2026-04-08 00:00:00,S503493,P3022,7818.52,Quality Issue
RET700003,2026-08-29 00:00:00,S500127,P3027,7974.83,Damaged
RET700004,2026-04-12 00:00:00,S501796,P3026,20379.15,Damaged
RET700005,2026-07-22 00:00:00,S501850,P3037,20875.51,Wrong Product
RET700006,2026-01-02 00:00:00,S504314,P3018,250000,Damaged
RET700007,2026-08-05 00:00:00,S503977,P3012,15018.46,Quality Issue
RET700008,2026-01-25 00:00:00,S504841,P3046,3903.86,Other
RET700009,2026-01-01 00:00:00,S502728,P3004,11985.08,Wrong Product
RET700010,2026-08-11 00:00:00,S503727,P3033,24970.42,Damaged
RET700011,2026-07-16 00:00:00,S503561,P3040,4391.56,Customer Return
RET700012,2026-06-17 00:00:00,S500260,P3050,23715.28,Wrong Product
RET700013,2026-03-09 00:00:00,S501242,P3040,20694.24,Quality Issue
RET700014,2026-08-31 00:00:00,S501844,P3039,24319.26,Customer Return
RET700015,2026-03-10 00:00:00,S501513,P3044,4899.68,Quality Issue
RET700016,2026-07-16 00:00:00,S504195,P3059,5731.2,Customer Return
RET700017,2026-09-05 00:00:00,S504278,P3026,913.25,Other
RET700018,2026-01-16 00:00:00,S502217,P3004,18255.19,Quality Issue
RET700019,2026-07-01 00:00:00,S502281,P3030,16280.32,Customer Return
RET700020,2026-07-10 00:00:00,S500956,P3046,4862.6,Quality Issue
RET700021,2026-01-18 00:00:00,S504568,P3029,19883.05,Wrong Product
RET700022,2026-04-17 00:00:00,S501109,P3039,7830.29,Quality Issue
RET700023,2026-01-17 00:00:00,S504775,P3015,3807.39,Quality Issue
RET700024,2026-05-05 00:00:00,S501543,P3004,10852.79,Customer Return
RET700025,2026-08-15 00:00:00,S500381,P3001,2728.76,Quality Issue
RET700026,2026-03-23 00:00:00,S501256,P3052,6949.47,Other
RET700027,2026-01-04 00:00:00,S502299,P3021,9597.67,Damaged
RET700028,2026-04-25 00:00:00,S502241,P3031,21370.67,Wrong Product
